CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX474828,10/20/2014 0:01,064XX N RIDGE BLVD,820,THEFT,$500 AND UNDER,OTHER,N,N,2412,50,6,1162546,1942853,41.99884774,-87.67739511,"(41.99884774390018, -87.67739511209149)"
HX475556,10/20/2014 0:01,063XX N PAULINA ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2433,40,7,1164077,1941912,41.99623329,-87.67178978,"(41.9962332942377, -87.67178977813545)"
HX474498,10/20/2014 5:15,017XX W NORTH SHORE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,N,N,2432,49,14,1163685,1944518,42.00339253,-87.67315785,"(42.003392526827405, -87.67315785428012)"
HX476929,10/20/2014 14:00,021XX W GRANVILLE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2413,40,26,1160964,1941109,41.99409526,-87.68326352,"(41.99409525773057, -87.68326351866908)"
HX475134,10/20/2014 15:35,011XX W BRYN MAWR AVE,880,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,2023,48,6,1167630,1937312,41.98353472,-87.65885322,"(41.98353472485726, -87.65885321554565)"
HX475250,10/20/2014 16:16,060XX N GREENVIEW AVE,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,2433,48,08A,1165178,1940349,41.99192097,-87.66778439,"(41.99192097022296, -87.66778439328525)"
HX487514,10/20/2014 17:30,064XX N OAKLEY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,2412,50,7,1159846,1942836,41.99885742,-87.68732808,"(41.998857421816766, -87.68732807572567)"
HX475417,10/20/2014 17:42,064XX N SHERIDAN RD,460,BATTERY,SIMPLE,CONVENIENCE STORE,Y,N,2432,49,08B,1167346,1942707,41.99834486,-87.65974164,"(41.998344859348194, -87.65974164481442)"
HX476548,10/20/2014 19:30,062XX N BROADWAY,870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,N,N,2433,49,6,1167209,1941574,41.99523884,-87.66027838,"(41.995238840759136, -87.66027838086475)"
HX475694,10/20/2014 21:30,069XX N LAKEWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2431,49,08B,1166278,1946080,42.00762342,-87.66357338,"(42.007623422531694, -87.66357338477803)"
HX475657,10/20/2014 21:30,012XX W DEVON AVE,820,THEFT,$500 AND UNDER,SIDEWALK,N,N,2433,40,6,1166725,1942599,41.99806189,-87.6620292,"(41.998061887507156, -87.66202920403316)"
HX475672,10/20/2014 22:30,022XX W DEVON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,2412,50,18,1160322,1942496,41.99791458,-87.68558648,"(41.99791458272709, -87.68558647519075)"
HX475732,10/20/2014 23:15,064XX N CLARK ST,560,ASSAULT,SIMPLE,SIDEWALK,Y,N,2432,40,08A,1164320,1942714,41.99842885,-87.67087307,"(41.998428848016104, -87.67087306869902)"
HX476723,10/21/2014 1:30,022XX W ESTES AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2411,50,7,1160062,1947337,42.01120383,-87.68640836,"(42.011203829362834, -87.6864083616826)"
HX485568,10/21/2014 9:00,022XX W FARWELL AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,2411,50,6,1159766,1945589,42.0064134,-87.68754598,"(42.00641339888565, -87.6875459849904)"
HX475981,10/21/2014 9:15,061XX N BROADWAY,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2433,48,6,1167234,1940745,41.99296351,-87.66021039,"(41.99296350779861, -87.66021038940265)"
HX476102,10/21/2014 10:30,070XX N CLARK ST,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,2423,49,6,1163385,1947213,42.01079401,-87.6741852,"(42.01079401097382, -87.67418520394267)"
HX476801,10/21/2014 15:30,059XX N GLENWOOD AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,2013,48,08B,1165871,1939326,41.98909902,-87.66526469,"(41.98909902450144, -87.66526469389366)"
HX477545,10/21/2014 16:00,067XX N CLARK ST,820,THEFT,$500 AND UNDER,RESTAURANT,N,N,2432,49,6,1163713,1944998,42.00470907,-87.67304122,"(42.00470906576349, -87.67304122462518)"
HX476792,10/21/2014 16:00,060XX N BROADWAY,890,THEFT,FROM BUILDING,LIBRARY,N,N,2433,48,6,1167176,1940031,41.99100553,-87.66044437,"(41.991005526517085, -87.66044436978856)"
HX477069,10/21/2014 20:00,015XX W MORSE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2431,49,11,1164789,1946113,42.00774581,-87.66905076,"(42.00774580934474, -87.66905076200199)"
HX477159,10/22/2014 3:40,014XX W PRATT BLVD,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,2431,49,6,1165594,1945322,42.00555811,-87.66611169,"(42.00555811243314, -87.6661116869153)"
HX477404,10/22/2014 8:00,067XX N SHERIDAN RD,560,ASSAULT,SIMPLE,APARTMENT,N,Y,2432,49,08A,1166976,1945220,42.00524856,-87.66103016,"(42.005248555900714, -87.66103015790839)"
HX478196,10/22/2014 11:10,068XX N WOLCOTT AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2424,49,5,1162338,1945290,42.00553931,-87.67809167,"(42.00553930863509, -87.67809167250643)"
HX477708,10/22/2014 14:30,067XX N CLARK ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESTAURANT,Y,N,2432,49,04A,1163713,1944998,42.00470907,-87.67304122,"(42.00470906576349, -87.67304122462518)"
HX478385,10/22/2014 18:00,059XX N WINTHROP AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,N,N,2433,48,17,1167742,1939781,41.9903073,-87.65836974,"(41.99030729875762, -87.65836973909315)"
HX478916,10/22/2014 19:30,012XX W NORWOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2433,48,14,1166648,1940275,41.99168644,-87.66237944,"(41.99168643600413, -87.66237944476498)"
HX480704,10/22/2014 20:30,010XX W HOLLYWOOD AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2022,48,26,1167952,1937987,41.98537998,-87.65764938,"(41.985379977362676, -87.65764937964629)"
HX478380,10/22/2014 22:57,064XX N SHERIDAN RD,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,COLLEGE/UNIVERSITY RESIDENCE HALL,Y,N,2432,49,26,1167126,1943210,41.99972985,-87.66053641,"(41.999729847145694, -87.66053640940684)"
HX478528,10/23/2014 6:15,064XX N CLAREMONT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2412,50,08B,1159434,1942859,41.99892905,-87.68884306,"(41.998929054043224, -87.68884306493236)"
HX479706,10/23/2014 10:57,070XX N CLARK ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,Y,N,2424,49,16,1163344,1946926,42.01000734,-87.67434419,"(42.01000734298577, -87.67434418744595)"
HX479680,10/23/2014 22:50,070XX N CLARK ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,Y,N,2424,49,16,1163344,1946926,42.01000734,-87.67434419,"(42.01000734298577, -87.67434418744595)"
HX479703,10/23/2014 23:00,069XX N RIDGE BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,2424,49,26,1161617,1945729,42.00675905,-87.68073198,"(42.006759047693855, -87.68073197969073)"
HX479695,10/23/2014 23:25,070XX N CLARK ST,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,SIDEWALK,Y,N,2424,49,16,1163344,1946926,42.01000734,-87.67434419,"(42.01000734298577, -87.67434418744595)"
HX480243,10/24/2014 0:03,061XX N BROADWAY,820,THEFT,$500 AND UNDER,ATHLETIC CLUB,N,N,2433,48,6,1167239,1940580,41.99251064,-87.66019677,"(41.992510636315764, -87.66019676843396)"
HX480134,10/24/2014 3:00,059XX N RIDGE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,Y,N,2013,48,5,1164627,1939451,41.98946857,-87.66983672,"(41.989468565420246, -87.66983672255323)"
HX480000,10/24/2014 9:05,064XX N BELL AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,N,N,2412,50,26,1160093,1942989,41.99927214,-87.68641518,"(41.99927214182995, -87.68641518374483)"
HX480445,10/24/2014 13:30,063XX N KENMORE AVE,1330,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PRIVATE, BUILDING",Y,N,2433,49,26,1168125,1942312,41.99724412,-87.65688745,"(41.99724412084288, -87.65688745426353)"
HX480480,10/24/2014 14:53,014XX W FARWELL AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,2431,49,26,1165404,1945767,42.00678326,-87.66679796,"(42.00678326207021, -87.66679796473609)"
HX487349,10/24/2014 18:00,061XX N WINTHROP AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2433,48,26,1167701,1941097,41.99391932,-87.6584824,"(41.993919317499056, -87.65848239966043)"
HX481591,10/24/2014 18:00,017XX W NORTH SHORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2432,49,14,1163685,1944518,42.00339253,-87.67315785,"(42.003392526827405, -87.67315785428012)"
HX491170,10/24/2014 21:00,019XX W FARWELL AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,N,Y,2424,49,04B,1161838,1945578,42.00634007,-87.67992313,"(42.006340074165, -87.67992312691156)"
HX481480,10/24/2014 21:00,070XX N RIDGE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2411,50,14,1161212,1946676,42.0093661,-87.68219554,"(42.00936610289534, -87.68219553721053)"
HX481095,10/24/2014 23:36,061XX N DAMEN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413,40,08B,1161837,1940962,41.99367365,-87.68005638,"(41.99367365471335, -87.68005637930622)"
HX481112,10/25/2014 0:10,009XX W HOLLYWOOD AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,Y,N,2022,48,26,1168837,1938108,41.9856928,-87.65439091,"(41.98569279946702, -87.6543909072745)"
HX481801,10/25/2014 1:00,064XX N WAYNE AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,2432,40,6,1166062,1942877,41.99883896,-87.66446015,"(41.99883896267255, -87.66446015376003)"
HX481465,10/25/2014 9:15,063XX N HERMITAGE AVE,820,THEFT,$500 AND UNDER,ALLEY,N,N,2433,40,6,1163589,1941718,41.99571128,-87.6735904,"(41.99571128406716, -87.6735904047327)"
HX481451,10/25/2014 9:20,061XX N HAMILTON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2413,40,08B,1160834,1940964,41.99370008,-87.68374576,"(41.99370007973787, -87.68374576006244)"
HX481976,10/25/2014 11:30,066XX N CLARK ST,560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2432,49,08A,1163888,1944333,42.00288058,-87.67241628,"(42.00288058481932, -87.67241628052959)"
HX482071,10/25/2014 13:30,012XX W ELMDALE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2013,48,7,1166818,1939950,41.99079097,-87.66176351,"(41.99079097178457, -87.66176351320954)"
HX493271,10/25/2014 15:00,024XX W MORSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2411,50,14,1158836,1945771,42.00693201,-87.69096256,"(42.006932011395456, -87.69096256140256)"
HX482175,10/25/2014 16:50,059XX N BROADWAY,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,PARK PROPERTY,N,N,2022,48,10,1167272,1939515,41.98958754,-87.66010618,"(41.98958754019489, -87.66010617989315)"
HX482119,10/25/2014 18:10,061XX N SHERIDAN RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2433,48,08B,1168480,1940770,41.99300514,-87.65562645,"(41.99300514175754, -87.65562644848448)"
HX482279,10/25/2014 20:54,059XX N RIDGE AVE,454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,2012,40,08B,1164165,1939763,41.99033451,-87.67152716,"(41.990334511862756, -87.67152715991458)"
HX482536,10/26/2014 1:07,065XX N SHERIDAN RD,620,BURGLARY,UNLAWFUL ENTRY,PARKING LOT/GARAGE(NON.RESID.),Y,N,2432,40,5,1167036,1943472,42.00045072,-87.66085993,"(42.00045072014349, -87.66085992565912)"
HX482744,10/26/2014 3:00,064XX N CLARK ST,264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,2432,40,2,1164336,1942660,41.99828033,-87.67081575,"(41.99828033096161, -87.67081574704193)"
HX482842,10/26/2014 7:00,062XX N HOYNE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,2413,50,26,1161157,1941276,41.99454949,-87.68254891,"(41.99454948880665, -87.68254891404592)"
HX515084,10/26/2014 8:30,013XX W HOLLYWOOD AVE,820,THEFT,$500 AND UNDER,OTHER,N,N,2013,48,6,1166434,1937995,41.98543466,-87.66323221,"(41.98543465543311, -87.66323221424325)"
HX485356,10/26/2014 9:00,017XX W LUNT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,2423,49,26,1163772,1946604,42.00911472,-87.67277857,"(42.00911471673969, -87.67277857356841)"
HX483813,10/26/2014 11:00,060XX N SHERIDAN RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2433,48,11,1168573,1940369,41.99190277,-87.65529604,"(41.99190276988602, -87.65529604135398)"
HX483538,10/26/2014 19:00,063XX N PAULINA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2433,40,14,1164082,1941734,41.99574475,-87.67177644,"(41.99574475144231, -87.67177644410584)"
HX483511,10/26/2014 21:40,070XX N CLARK ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,Y,N,2424,49,16,1163382,1946711,42.00941658,-87.67421046,"(42.009416575554646, -87.67421046332728)"
HX483506,10/26/2014 22:00,070XX N CLARK ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,Y,N,2424,49,16,1163344,1946926,42.01000734,-87.67434419,"(42.01000734298577, -87.67434418744595)"
HX483510,10/26/2014 22:03,070XX N CLARK ST,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,Y,N,2424,49,16,1163344,1946926,42.01000734,-87.67434419,"(42.01000734298577, -87.67434418744595)"
HX484130,10/27/2014 2:00,024XX W FITCH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2411,50,08B,1158887,1947347,42.01125555,-87.6907314,"(42.01125555409564, -87.69073139943515)"
HX483649,10/27/2014 2:50,063XX N MAGNOLIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2433,40,08B,1166756,1942319,41.99729289,-87.66192324,"(41.99729289477232, -87.66192324270816)"
HX516287,10/27/2014 10:00,061XX N RAVENSWOOD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2413,40,11,1163076,1941071,41.99394673,-87.67549577,"(41.99394672699943, -87.67549576539086)"
HX484798,10/27/2014 11:00,016XX W PRATT BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2432,49,7,1163983,1945195,42.00524392,-87.67204229,"(42.0052439200254, -87.67204228860695)"
HX484167,10/27/2014 12:30,070XX N CLARK ST,820,THEFT,$500 AND UNDER,STREET,N,N,2424,49,6,1163403,1946594,42.00909508,-87.67413651,"(42.0090950812973, -87.67413651274587)"
HX496683,10/27/2014 13:00,063XX N SHERIDAN RD,460,BATTERY,SIMPLE,APARTMENT,N,N,2433,49,08B,1168521,1942082,41.9966044,-87.65543743,"(41.996604403398926, -87.6554374319922)"
HX484339,10/27/2014 13:06,014XX W LUNT AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,2423,49,6,1165373,1946653,42.00921512,-87.66688664,"(42.009215124657615, -87.66688664233062)"
HX484418,10/27/2014 14:45,016XX W NORTH SHORE AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,Y,N,2432,49,04A,1164016,1944609,42.00363522,-87.67193753,"(42.00363522306048, -87.67193753449071)"
HX486513,10/27/2014 17:00,059XX N GLENWOOD AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",N,N,2013,48,6,1165871,1939326,41.98909902,-87.66526469,"(41.98909902450144, -87.66526469389366)"
HX485096,10/27/2014 20:00,013XX W MORSE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,N,N,2431,49,11,1165952,1946229,42.00803927,-87.66476852,"(42.00803927320711, -87.66476852003571)"
HX495784,10/27/2014 22:00,068XX N BELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2411,50,14,1160169,1945347,42.00574099,-87.68607002,"(42.00574099256125, -87.68607002375056)"
HX555511,10/27/2014 22:00,016XX W COLUMBIA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2432,49,11,1164179,1944855,42.0043068,-87.67133087,"(42.00430679590702, -87.67133086509834)"
HX484859,10/27/2014 22:25,009XX W THORNDALE AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,2022,48,08B,1168646,1939676,41.98999958,-87.65504772,"(41.9899995777256, -87.65504771638099)"
HX483544,10/27/2014 22:30,019XX W GRANVILLE AVE,560,ASSAULT,SIMPLE,SIDEWALK,N,N,2413,50,08A,1162371,1941233,41.99440609,-87.67808449,"(41.99440609195548, -87.67808448692233)"
HY114851,10/28/2014 8:00,012XX W EARLY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2013,48,7,1166800,1938121,41.98577254,-87.66188247,"(41.98577253717063, -87.66188246543163)"
HX485245,10/28/2014 8:30,017XX W WALLEN AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,Y,2432,40,04A,1163645,1944186,42.00248236,-87.67331443,"(42.0024823569474, -87.6733144281142)"
HX485205,10/28/2014 9:10,070XX N CLARK ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,2424,49,3,1163403,1946594,42.00909508,-87.67413651,"(42.0090950812973, -87.67413651274587)"
HX485518,10/28/2014 12:00,066XX N BOSWORTH AVE,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",N,N,2432,40,08B,1164775,1944268,42.00268339,-87.66915493,"(42.00268338857119, -87.66915493150893)"
HX486294,10/28/2014 12:00,012XX W LOYOLA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2432,40,7,1166870,1943813,42.00139001,-87.66146076,"(42.001390006461946, -87.66146075867775)"
HX521592,10/28/2014 12:00,020XX W MORSE AVE,810,THEFT,OVER $500,APARTMENT,N,N,2411,50,6,1161475,1945982,42.00745626,-87.68124733,"(42.00745625551359, -87.68124732963638)"
HX504653,10/28/2014 13:41,060XX N PAULINA ST,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,2433,40,6,1164120,1940463,41.99225629,-87.67167279,"(41.99225628639071, -87.67167278582617)"
HX529979,10/28/2014 13:56,064XX N CAMPBELL AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,2412,50,6,1158517,1942923,41.99912356,-87.69221468,"(41.999123562522904, -87.69221467935682)"
HX485763,10/28/2014 14:45,019XX W LOYOLA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,N,Y,2412,50,08B,1162035,1943431,42.00044452,-87.67925868,"(42.0004445190868, -87.67925868343062)"
HX487136,10/28/2014 18:00,067XX N HERMITAGE AVE,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,2432,49,7,1163500,1944679,42.00383823,-87.6738339,"(42.00383822705335, -87.67383389834939)"
HX486046,10/28/2014 18:45,022XX W HIGHLAND AVE,460,BATTERY,SIMPLE,APARTMENT,N,N,2413,50,08B,1160419,1942087,41.99679026,-87.68524103,"(41.99679025887806, -87.68524103400493)"
HX486395,10/28/2014 19:00,017XX W DEVON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2432,40,14,1163471,1942596,41.99812303,-87.6739996,"(41.99812303429545, -87.67399960044013)"
HX486081,10/28/2014 19:49,060XX N KENMORE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,Y,N,2433,48,18,1168113,1940102,41.9911801,-87.65699581,"(41.9911800978595, -87.65699580643626)"
HX486039,10/28/2014 19:50,059XX N WINTHROP AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,2433,48,04B,1167817,1939957,41.99078862,-87.65808877,"(41.990788624260965, -87.65808877059186)"
HX486419,10/28/2014 21:00,067XX N BOSWORTH AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2432,40,6,1164680,1944766,42.00405193,-87.66949022,"(42.00405193327882, -87.66949022270543)"
HX486417,10/28/2014 22:00,019XX W DEVON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2413,50,14,1162397,1942481,41.9978301,-87.67795371,"(41.99783009581817, -87.67795371200499)"
HX486273,10/28/2014 22:00,016XX W DEVON AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2432,40,6,1164176,1942620,41.99817397,-87.67140547,"(41.99817396545119, -87.67140546985354)"
HX486196,10/28/2014 22:50,066XX N GLENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,2432,40,3,1165763,1944392,42.00300256,-87.66551661,"(42.003002558542406, -87.66551661194958)"
HX493454,10/28/2014 23:00,064XX N HAMILTON AVE,810,THEFT,OVER $500,APARTMENT,N,N,2412,50,6,1160757,1942917,41.99906078,-87.68397452,"(41.99906077953845, -87.68397451893382)"
HX498292,10/29/2014 9:00,062XX N WESTERN AVE,810,THEFT,OVER $500,SMALL RETAIL STORE,N,N,2413,50,6,1159143,1941525,41.99527451,-87.68995044,"(41.995274514883086, -87.68995044179727)"
HX486495,10/29/2014 10:00,057XX N SHERIDAN RD,560,ASSAULT,SIMPLE,STREET,N,N,2022,48,08A,1168549,1938573,41.98697503,-87.65543661,"(41.98697502971997, -87.65543661193193)"
HX486997,10/29/2014 10:00,021XX W GREENLEAF AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",N,N,2411,50,6,1160575,1946965,42.0101724,-87.6845312,"(42.01017239781616, -87.6845311965045)"
HX486813,10/29/2014 13:00,059XX N GLENWOOD AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",N,N,2013,48,08A,1165871,1939326,41.98909902,-87.66526469,"(41.98909902450144, -87.66526469389366)"
HX486910,10/29/2014 14:30,065XX N ASHLAND AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2432,40,26,1164458,1943816,42.00144983,-87.67033402,"(42.00144983194543, -87.67033402269809)"
HX487949,10/29/2014 16:05,062XX N WESTERN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,N,N,2413,50,26,1159227,1941418,41.99497917,-87.68964441,"(41.994979170662596, -87.68964440657922)"
HX487611,10/29/2014 16:30,022XX W GRANVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2413,50,14,1160314,1941169,41.99427342,-87.68565283,"(41.99427341500546, -87.68565282711378)"
HX487137,10/29/2014 16:45,020XX W GREENLEAF AVE,820,THEFT,$500 AND UNDER,ALLEY,N,N,2424,49,6,1161396,1946895,42.0099632,-87.68151241,"(42.00996320224048, -87.68151241000808)"
HX489492,10/29/2014 17:00,013XX W PRATT BLVD,820,THEFT,$500 AND UNDER,STREET,N,N,2432,49,6,1166141,1945262,42.00538176,-87.66410096,"(42.0053817560355, -87.6641009597944)"
HX488719,10/29/2014 19:30,068XX N RIDGE BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2424,49,7,1161775,1945282,42.00552916,-87.68016322,"(42.00552916139593, -87.6801632204911)"
HX489516,10/29/2014 20:30,012XX W MORSE AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2431,49,6,1166527,1946246,42.00807358,-87.66265248,"(42.00807358019314, -87.66265248177602)"
HX487963,10/29/2014 21:00,016XX W OLIVE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2012,40,7,1164342,1937518,41.98417041,-87.67093998,"(41.98417040783073, -87.67093998417967)"
HX487460,10/29/2014 22:32,060XX N WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,OTHER,Y,N,2413,40,18,1159190,1939849,41.99067454,-87.68982388,"(41.990674537645575, -87.68982388072936)"
HX527412,10/30/2014 0:00,060XX N WOLCOTT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,2413,40,11,1162688,1940172,41.99148801,-87.67694834,"(41.991488012845565, -87.67694833635996)"
HX503394,10/30/2014 0:01,061XX N SHERIDAN RD,890,THEFT,FROM BUILDING,RESIDENCE,N,N,2433,48,6,1168547,1941219,41.99423575,-87.65536692,"(41.99423575100411, -87.65536692393604)"
HX487779,10/30/2014 9:01,068XX N CLARK ST,460,BATTERY,SIMPLE,CAR WASH,N,N,2424,49,08B,1163596,1945525,42.00615764,-87.67345673,"(42.0061576413008, -87.67345672737534)"
HX488055,10/30/2014 12:40,065XX N NEWGARD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,Y,N,2432,40,5,1165375,1943545,42.00068667,-87.66696829,"(42.00068666791816, -87.66696828709553)"
HX488287,10/30/2014 15:15,016XX W DEVON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,N,N,2432,40,26,1164359,1942625,41.9981838,-87.67073213,"(41.99818380172269, -87.67073213424068)"
HX489010,10/30/2014 23:00,063XX N LAKEWOOD AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,2433,40,6,1166420,1942438,41.99762666,-87.66315582,"(41.99762665603259, -87.66315582448426)"
HX498892,10/31/2014 2:00,011XX W GRANVILLE AVE,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,CTA TRAIN,Y,N,2433,48,04B,1167512,1941291,41.99445574,-87.659172,"(41.9944557425133, -87.65917199882583)"
HX496979,10/31/2014 6:00,065XX N GLENWOOD AVE,810,THEFT,OVER $500,STREET,N,N,2432,40,6,1165704,1943708,42.00112691,-87.66575329,"(42.00112691097972, -87.66575328889775)"
HX490789,10/31/2014 8:00,067XX N RAVENSWOOD AVE,560,ASSAULT,SIMPLE,VEHICLE NON-COMMERCIAL,N,N,2432,49,08A,1163080,1945175,42.00520813,-87.67536505,"(42.00520813049438, -87.67536504678367)"
